#l_x l_y  l_re  l_q  l_pa  l_n  l_mag  s_x  s_y  s_re  s_q  s_pa  s_n  s_mag  l_mx  l_my  l_b  l_q  l_pa  l_eta  sh_x  sh_y  sh_b  sh_pa 
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 19.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 19.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 20.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 20.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 21.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 21.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 22.0 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
180.0 180.0 83.000 0.8 80.0 6.0 30.70 180.50 181.00 36.0 0.7 45.0 3.0 22.5 180.0 180.0 65.45 0.85 74 0.8 180.0 180.0 0.0 0.0
